Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AutoTP2R1	Peptides AutoTP2R2	Peptides AutoTP2R3	Peptides HeteTP4R1	Peptides HeteTP4R2	Peptides HeteTP4R3	Peptides MixoTP4R1	Peptides MixoTP4R2	Peptides MixoTP4R3	Razor + unique peptides AutoTP2R1	Razor + unique peptides AutoTP2R2	Razor + unique peptides AutoTP2R3	Razor + unique peptides HeteTP4R1	Razor + unique peptides HeteTP4R2	Razor + unique peptides HeteTP4R3	Razor + unique peptides MixoTP4R1	Razor + unique peptides MixoTP4R2	Razor + unique peptides MixoTP4R3	Unique peptides AutoTP2R1	Unique peptides AutoTP2R2	Unique peptides AutoTP2R3	Unique peptides HeteTP4R1	Unique peptides HeteTP4R2	Unique peptides HeteTP4R3	Unique peptides MixoTP4R1	Unique peptides MixoTP4R2	Unique peptides MixoTP4R3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type AutoTP2R1	Identification type AutoTP2R2	Identification type AutoTP2R3	Identification type HeteTP4R1	Identification type HeteTP4R2	Identification type HeteTP4R3	Identification type MixoTP4R1	Identification type MixoTP4R2	Identification type MixoTP4R3	Sequence coverage AutoTP2R1 [%]	Sequence coverage AutoTP2R2 [%]	Sequence coverage AutoTP2R3 [%]	Sequence coverage HeteTP4R1 [%]	Sequence coverage HeteTP4R2 [%]	Sequence coverage HeteTP4R3 [%]	Sequence coverage MixoTP4R1 [%]	Sequence coverage MixoTP4R2 [%]	Sequence coverage MixoTP4R3 [%]	Intensity	Intensity AutoTP2R1	Intensity AutoTP2R2	Intensity AutoTP2R3	Intensity HeteTP4R1	Intensity HeteTP4R2	Intensity HeteTP4R3	Intensity MixoTP4R1	Intensity MixoTP4R2	Intensity MixoTP4R3	LFQ intensity AutoTP2R1	LFQ intensity AutoTP2R2	LFQ intensity AutoTP2R3	LFQ intensity HeteTP4R1	LFQ intensity HeteTP4R2	LFQ intensity HeteTP4R3	LFQ intensity MixoTP4R1	LFQ intensity MixoTP4R2	LFQ intensity MixoTP4R3	MS/MS count AutoTP2R1	MS/MS count AutoTP2R2	MS/MS count AutoTP2R3	MS/MS count HeteTP4R1	MS/MS count HeteTP4R2	MS/MS count HeteTP4R3	MS/MS count MixoTP4R1	MS/MS count MixoTP4R2	MS/MS count MixoTP4R3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
g5317.t1	g5317.t1	8	8	5		1	8	8	5	6	3	6	6	7	7	1	6	5	6	3	6	6	7	7	1	6	5	4	2	4	4	4	4	0	3	2	24	24	15	63.923	587	587	1	72	0	98.775	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	19.3	8.5	19.1	17.7	19.6	21.1	3.9	16.7	13.6	31452000	944680	548130	2075200	5135500	8346500	9109300	63415	3596800	1632400	601520	838300	3181900	6610900	5910900	4280700	0	1992600	1331700	1	1	9	5	5	4	0	4	2	31				444	1282;1604;1891;2192;2324;2325;3453;3463	True;True;True;True;True;True;True;True	1361;1710;2017;2018;2340;2341;2514;2515;2516;3713;3725	9067;9068;9069;11349;11350;11351;11352;13386;13387;13388;13389;13390;13391;13392;13393;13394;13395;13396;13397;13398;13399;13400;13401;13402;13403;13404;13405;13406;13407;13408;13409;15563;15564;15565;15566;15567;15568;15569;15570;15571;15572;15573;15574;15575;16763;16764;16765;16766;16767;16768;16769;16770;16771;16772;16773;16774;16775;16776;16777;16778;16779;16780;24846;24847;24848;24849;24850;24851;24852;24913;24914;24915	3251;4026;4027;4028;4764;4765;4766;4767;4768;4769;4770;4771;4772;4773;4774;4775;4776;5531;5532;5533;5534;5535;5942;5943;5944;5945;5946;5947;5948;5949;8872;8899	3251;4027;4765;5533;5943;5949;8872;8899	229;250;251	72;328;361
g537.t1	g537.t1	2	2	2		1	2	2	2	0	0	1	2	0	1	2	2	0	0	0	1	2	0	1	2	2	0	0	0	1	2	0	1	2	2	0	7.1	7.1	7.1	51.628	464	464	1	8	0	12.211			By matching	By matching		By matching	By MS/MS	By matching		0	0	3	7.1	0	4.1	7.1	7.1	0	1045100	0	0	15339	265660	0	124230	376590	263290	0	0	0	0	0	0	0	0	157940	0	0	0	0	0	0	0	1	0	0	1				445	2865;3153	True;True	3087;3394	20599;20600;20601;20602;22637;22638;22639;22640	7308;8029	7308;8029		
g5385.t1	g5385.t1	2	2	2		1	2	2	2	0	0	2	0	0	1	1	2	2	0	0	2	0	0	1	1	2	2	0	0	2	0	0	1	1	2	2	7.2	7.2	7.2	42.357	402	402	1	8	0	13.893			By matching			By matching	By matching	By MS/MS	By MS/MS	0	0	7.2	0	0	3.5	3.7	7.2	7.2	3543500	0	0	293540	0	0	295830	371090	1577500	1005600	0	0	0	0	0	0	0	910430	1275700	0	0	0	0	0	0	0	1	1	2				446	389;3115	True;True	411;3354	2685;2686;2687;2688;22398;22399;22400;22401	976;7935	976;7935		
g5398.t1	g5398.t1	2	2	2		1	2	2	2	0	0	0	2	2	1	2	2	2	0	0	0	2	2	1	2	2	2	0	0	0	2	2	1	2	2	2	10.9	10.9	10.9	30.639	285	285	1	11	0	11.547				By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	0	0	0	10.9	10.9	4.6	10.9	10.9	10.9	2179600	0	0	0	178590	549840	393910	364050	365200	328000	0	0	0	286690	381400	0	247370	271450	376450	0	0	0	1	0	1	2	0	1	5				447	705;732	True;True	745;773	4902;4903;4904;4905;4906;5091;5092;5093;5094;5095;5096	1738;1812;1813;1814;1815	1738;1814		
g5425.t1	g5425.t1	5	5	5		1	5	5	5	4	2	1	2	1	3	5	3	1	4	2	1	2	1	3	5	3	1	4	2	1	2	1	3	5	3	1	14.9	14.9	14.9	51.663	469	469	1	22	0	32.191	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	12.2	4.3	1.9	5.1	4.7	9.8	14.9	9.4	1.9	8468000	1387200	344460	43646	323260	307640	1276900	3038800	1724900	21221	1168600	1345900	0	878220	0	728470	1137900	1120100	0	0	0	0	0	0	2	4	0	0	6				448	278;386;777;2226;2913	True;True;True;True;True	291;408;821;2389;3137	1885;1886;1887;1888;2662;2663;2664;2665;2666;2667;2668;5419;5420;5421;15957;15958;15959;20906;20907;20908;20909;20910	716;967;1924;1925;5657;7413	716;967;1925;5657;7413		
g543.t1	g543.t1	8	8	8		1	8	8	8	8	7	4	4	2	5	7	7	6	8	7	4	4	2	5	7	7	6	8	7	4	4	2	5	7	7	6	33.8	33.8	33.8	44.201	405	405	1	52	0	103.49	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	33.8	26.9	12.3	14.3	7.9	19.8	29.6	26.9	24.7	30794000	6107400	4020700	597780	569740	325570	1708300	6996100	5628300	4840300	5735800	6871100	2291700	1469800	0	1370700	3342000	2996800	6132600	3	4	1	1	0	1	1	2	2	15				449	72;987;1237;1764;2211;3289;3299;3345	True;True;True;True;True;True;True;True	73;1044;1310;1311;1883;2365;3537;3547;3598	465;466;6940;6941;6942;6943;6944;6945;6946;8732;8733;8734;8735;8736;8737;8738;8739;8740;8741;12572;12573;12574;12575;12576;12577;15743;15744;15745;15746;15747;23614;23615;23616;23617;23618;23619;23620;23621;23665;23666;23667;23668;23669;23670;23671;23672;24012;24013;24014;24015;24016;24017	169;2450;3134;3135;3136;4463;4464;5589;8412;8413;8414;8415;8432;8433;8434;8435;8570;8571	169;2450;3134;4464;5589;8412;8432;8570	252;253;254;255	167;236;242;244
g5435.t1	g5435.t1	3	3	3		1	3	3	3	3	3	1	2	3	3	3	2	3	3	3	1	2	3	3	3	2	3	3	3	1	2	3	3	3	2	3	25.6	25.6	25.6	21.939	207	207	1	29	0	80.052	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	25.6	25.6	8.7	16.4	25.6	25.6	25.6	16.4	25.6	16384000	1873200	2620000	1837500	813910	1169400	1544900	2445200	2836600	1243600	3983700	857210	0	1234500	1790600	1202400	1800400	1899800	1736000	4	1	2	1	2	0	1	0	0	11				450	794;1385;2231	True;True;True	840;1477;1478;2394	5542;5543;5544;5545;5546;5547;5548;5549;5550;9836;9837;9838;9839;9840;9841;9842;9843;9844;9845;9846;9847;15988;15989;15990;15991;15992;15993;15994;15995	1989;1990;1991;1992;1993;1994;3531;3532;5666;5667;5668	1991;3531;5666	256	77
g5476.t1	g5476.t1	5	5	5		1	5	5	5	3	1	3	2	4	4	1	2	2	3	1	3	2	4	4	1	2	2	3	1	3	2	4	4	1	2	2	15.9	15.9	15.9	49.872	458	458	1	22	0	36.644	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	10.9	4.1	10.9	6.8	13.3	13.5	4.1	8.5	6.8	8535700	358570	75815	1042400	1035500	2116100	2504300	111790	901040	390130	534960	0	2091900	1747300	1505300	1258800	0	871890	598980	0	0	2	2	4	3	0	2	1	14				451	14;1671;2857;3162;3181	True;True;True;True;True	14;1786;3079;3403;3424	76;11930;11931;20550;20551;20552;20553;20554;22686;22687;22688;22689;22690;22691;22692;22848;22849;22850;22851;22852;22853;22854	30;4260;7291;7292;7293;8041;8042;8043;8044;8102;8103;8104;8105;8106	30;4260;7292;8041;8105		
g5477.t1	g5477.t1	5	5	5		1	5	5	5	5	3	4	3	3	2	4	3	5	5	3	4	3	3	2	4	3	5	5	3	4	3	3	2	4	3	5	30.4	30.4	30.4	30.806	296	296	1	38	0	51.111	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	30.4	17.9	22.3	14.2	15.9	11.5	22.3	19.6	30.4	14071000	2109300	1861500	2614700	1341300	1974900	507660	1295000	1022600	1343500	1848100	2502500	6523600	1777800	1504700	1483900	1042100	1096800	1223400	4	1	4	1	0	0	1	0	0	11				452	6;1317;2401;3651;3692	True;True;True;True;True	6;1404;2598;3924;3966	35;36;37;38;39;40;9359;9360;9361;9362;9363;9364;17301;17302;17303;17304;17305;17306;17307;17308;17309;17310;17311;17312;17313;26226;26227;26228;26229;26491;26492;26493;26494;26495;26496;26497;26498;26499	17;18;19;20;3372;6109;6110;9378;9465;9466;9467	20;3372;6109;9378;9465		
g5481.t1	g5481.t1	20	20	19		1	20	20	19	18	16	17	15	13	16	17	17	18	18	16	17	15	13	16	17	17	18	17	15	16	14	13	15	17	16	17	31.8	31.8	29.7	72.914	686	686	1	167	0	274.81	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	30.3	25.7	30.3	22.3	22.6	27	25.1	25.7	28.1	207120000	17178000	7153100	15386000	13452000	24906000	29179000	35506000	49999000	14362000	16382000	16479000	42164000	28288000	18467000	15933000	24322000	20899000	13947000	12	4	9	5	2	4	12	4	2	54				453	62;500;770;1430;1479;1500;1545;1546;1601;1644;1658;1953;2133;2134;2263;2493;2756;3168;3330;3710	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	63;527;813;1525;1574;1595;1646;1647;1707;1753;1769;2086;2277;2278;2437;2438;2695;2972;3410;3582;3984	407;408;409;410;411;412;413;3411;3412;3413;3414;3415;3416;3417;5368;5369;5370;5371;5372;5373;5374;5375;10137;10138;10139;10140;10141;10142;10143;10144;10433;10434;10435;10436;10437;10438;10439;10440;10441;10442;10443;10444;10445;10446;10447;10448;10449;10599;10600;10601;10602;10603;10929;10930;10931;10932;10933;10934;10935;10936;10937;10938;10939;10940;10941;10942;10943;10944;10945;10946;11323;11324;11325;11326;11327;11328;11329;11330;11331;11666;11667;11668;11669;11670;11671;11775;11776;11777;11778;11779;11780;11781;13830;13831;13832;13833;13834;13835;13836;15133;15134;15135;15136;15137;15138;15139;15140;15141;15142;15143;15144;15145;15146;15147;16241;16242;16243;16244;16245;16246;16247;16248;16249;16250;16251;16252;17982;17983;17984;17985;17986;17987;17988;17989;17990;19829;19830;19831;19832;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;22727;22728;22729;22730;22731;22732;22733;22734;22735;22736;22737;23900;23901;23902;26619;26620;26621;26622	154;1225;1226;1913;1914;3624;3625;3713;3714;3715;3783;3898;3899;3900;3901;3902;3903;3904;4014;4015;4016;4017;4147;4148;4149;4150;4197;4198;4199;4200;4201;4202;4935;5386;5387;5388;5389;5390;5749;5750;5751;6366;6367;6980;6981;6982;6983;6984;6985;8057;8058;8059;8533;9505	154;1226;1914;3625;3715;3783;3898;3902;4015;4150;4197;4935;5387;5389;5750;6366;6982;8057;8533;9505	257	121
g5485.t1	g5485.t1	14	14	14		1	14	14	14	10	8	8	7	13	10	12	11	11	10	8	8	7	13	10	12	11	11	10	8	8	7	13	10	12	11	11	36.3	36.3	36.3	45.492	419	419	1	97	0	133.41	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.2	21.2	19.8	18.9	34.6	26	31.7	27.9	31.5	140440000	8838800	4764000	2551700	9551200	18825000	27001000	25218000	23156000	20529000	11922000	10798000	7339200	8922000	11090000	15785000	17864000	15281000	25647000	7	1	2	0	1	1	8	4	2	26				454	457;781;1054;1055;2339;2348;2712;2906;2949;3072;3103;3247;3665;3673	True;True;True;True;True;True;True;True;True;True;True;True;True;True	483;826;1118;1119;2533;2542;2926;3130;3174;3309;3310;3342;3494;3939;3947	3135;3136;3137;3138;3139;3140;3141;3142;5451;5452;5453;5454;5455;5456;5457;5458;5459;7445;7446;7447;7448;7449;7450;7451;7452;7453;7454;7455;16881;16882;16883;16884;16885;16886;16887;16941;16942;16943;16944;16945;16946;16947;16948;16949;19496;19497;19498;19499;19500;20847;20848;20849;20850;20851;20852;20853;21160;21161;21162;22112;22113;22114;22115;22116;22117;22118;22119;22120;22325;22326;22327;22328;22329;22330;22331;22332;22333;22334;22335;22336;23316;23317;23318;23319;23320;23321;23322;26330;26331;26332;26333;26334;26335;26371;26372;26373;26374	1118;1946;1947;1948;1949;1950;2645;2646;2647;2648;2649;5976;5999;6859;6860;6861;6862;7400;7504;7837;7838;7839;7918;7919;8299;9412;9424	1118;1946;2645;2649;5976;5999;6860;7400;7504;7838;7919;8299;9412;9424	258;259	79;81
g5507.t1	g5507.t1	2	2	2		1	2	2	2	0	1	0	0	1	1	1	2	1	0	1	0	0	1	1	1	2	1	0	1	0	0	1	1	1	2	1	12.1	12.1	12.1	19.358	173	173	1	7	0	12.001		By matching			By matching	By MS/MS	By matching	By MS/MS	By matching	0	6.9	0	0	6.9	6.9	6.9	12.1	6.9	1132500	0	86150	0	0	315960	198960	76934	342640	111870	0	0	0	0	0	0	0	205540	0	0	0	0	0	0	0	0	1	0	1				455	1810;2193	True;True	1932;2342	12871;15576;15577;15578;15579;15580;15581	4569;5536	4569;5536	260	72
g5523.t1	g5523.t1	2	2	2		1	2	2	2	1	1	1	0	1	1	1	2	0	1	1	1	0	1	1	1	2	0	1	1	1	0	1	1	1	2	0	17.7	17.7	17.7	22.442	215	215	1	8	0	14.301	By matching	By matching	By MS/MS		By matching	By matching	By MS/MS	By matching		5.1	5.1	5.1	0	12.6	12.6	12.6	17.7	0	3208000	333910	118610	710510	0	379930	419120	375590	870340	0	0	0	0	0	0	0	0	522070	0	0	0	1	0	0	0	1	0	0	2				456	1992;3561	True;True	2126;3831	14123;14124;14125;14126;25619;25620;25621;25622	5043;9133	5043;9133		
g5525.t1	g5525.t1	2	2	2		1	2	2	2	0	0	0	1	2	2	1	1	1	0	0	0	1	2	2	1	1	1	0	0	0	1	2	2	1	1	1	27	27	27	19.37	185	185	1	8	0	12.925				By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	0	0	0	9.7	27	27	17.3	17.3	17.3	51669000	0	0	0	1077100	23168000	24476000	364210	2372700	210410	0	0	0	0	20413000	12500000	0	0	0	0	0	0	0	2	1	1	0	0	4				457	1255;3661	True;True	1332;3935	8888;8889;8890;26306;26307;26308;26309;26310	3194;9405;9406;9407	3194;9406		
g5567.t1	g5567.t1	7	7	7		1	7	7	7	7	7	7	6	5	6	7	5	5	7	7	7	6	5	6	7	5	5	7	7	7	6	5	6	7	5	5	30	30	30	25.861	247	247	1	62	0	182.83	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	30	30	30	30	19.4	26.3	30	23.5	21.9	102770000	13761000	8961400	10698000	8641200	11752000	14806000	14387000	9526800	10235000	11930000	12948000	23584000	22960000	10775000	9055500	8275200	5808600	10393000	5	5	6	2	4	0	5	2	2	31				458	676;1736;1835;2255;2320;2327;2328	True;True;True;True;True;True;True	715;1854;1958;2428;2510;2518;2519	4701;4702;4703;4704;4705;4706;4707;12380;12381;12382;12383;12384;12385;12386;12387;12388;12389;12390;12391;12392;12393;12394;12395;13004;13005;13006;13007;13008;13009;13010;13011;13012;16181;16182;16183;16184;16185;16186;16187;16188;16728;16729;16730;16731;16732;16733;16734;16735;16736;16787;16788;16789;16790;16791;16792;16793;16794;16795;16796;16797;16798;16799	1682;4407;4408;4409;4410;4620;4621;4622;4623;4624;4625;5729;5730;5731;5732;5733;5924;5925;5926;5927;5928;5929;5930;5931;5932;5951;5952;5953;5954;5955;5956;5957	1682;4410;4622;5732;5928;5953;5956		
g5636.t1	g5636.t1	6	6	6		1	6	6	6	4	4	5	5	4	2	4	4	3	4	4	5	5	4	2	4	4	3	4	4	5	5	4	2	4	4	3	13.3	13.3	13.3	36.428	347	347	1	35	0	145.69	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.1	10.1	13.3	13.3	10.1	6.6	9.5	9.5	6.9	167890000	19612000	13696000	13910000	22040000	43755000	19417000	12071000	14651000	8732700	15288000	27003000	28400000	31330000	27472000	12175000	9954400	15311000	18377000	2	2	3	6	3	3	1	2	1	23				459	778;1343;3157;3158;3172;3470	True;True;True;True;True;True	822;1430;3398;3399;3415;3733	5422;5423;5424;5425;5426;5427;5428;5429;5430;9534;9535;22662;22663;22664;22665;22666;22667;22668;22669;22765;22766;22767;22768;22769;22770;22771;22772;24979;24980;24981;24982;24983;24984;24985;24986	1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;3432;8033;8034;8035;8036;8037;8072;8921;8922;8923	1926;3432;8033;8036;8072;8921		
g5699.t1	g5699.t1	2	2	2		1	2	2	2	2	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	6	6	6	94.908	915	915	1	20	0	19.951	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	6	6	6	2.4	3.6	3.6	3.6	6	3.6	29048000	1761500	3513800	6967500	105490	655550	3648700	5190400	4607000	2597700	2390400	9520400	13818000	0	0	0	0	2581000	0	1	2	1	0	0	0	0	0	0	4				460	24;364	True;True	24;386	138;139;140;141;142;2499;2500;2501;2502;2503;2504;2505;2506;2507;2508;2509;2510;2511;2512;2513	46;47;914;915	47;914		
g5704.t1	g5704.t1	19	19	19		1	19	19	19	13	12	16	13	17	19	15	17	14	13	12	16	13	17	19	15	17	14	13	12	16	13	17	19	15	17	14	45.9	45.9	45.9	48.641	442	442	1	169	0	181.65	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.9	26.9	38.2	32.6	43	45.9	40.7	43.2	35.7	714100000	16260000	8048600	44535000	66479000	148270000	207380000	66020000	118030000	39074000	21613000	16620000	80352000	114610000	115590000	111790000	52671000	62878000	65871000	3	4	11	9	12	9	5	5	1	59				461	209;227;546;600;968;1111;1370;1380;1560;1648;1927;1947;1981;2577;2901;2902;2946;2981;3263	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	216;236;577;633;1024;1177;1461;1471;1662;1758;2057;2080;2114;2787;3124;3125;3126;3171;3209;3210;3511	1385;1386;1387;1388;1389;1390;1391;1392;1509;1510;1511;1512;1513;1514;1515;1516;3778;3779;3780;3781;3782;4116;4117;4118;4119;4120;4121;4122;4123;4124;4125;4126;4127;4128;4129;4130;4131;4132;4133;6806;6807;7814;7815;7816;7817;7818;9728;9729;9730;9731;9732;9733;9734;9735;9736;9737;9738;9796;9797;9798;9799;9800;9801;9802;11023;11024;11025;11694;11695;11696;11697;11698;11699;11700;13628;13629;13630;13631;13632;13633;13634;13635;13636;13787;13788;13789;13790;13791;13792;13793;13794;13795;13796;13797;13798;13799;14027;14028;14029;14030;14031;14032;14033;14034;18596;18597;18598;18599;18600;18601;18602;18603;18604;18605;18606;18607;18608;18609;18610;20817;20818;20819;20820;20821;20822;20823;20824;20825;20826;20827;20828;20829;20830;20831;20832;21133;21134;21135;21136;21137;21138;21139;21140;21141;21142;21143;21144;21145;21146;21401;21402;21403;21404;21405;21406;21407;21408;21409;21410;21411;21412;23434;23435;23436;23437;23438;23439;23440;23441	535;536;537;586;587;588;589;590;591;1359;1475;1476;1477;1478;1479;1480;2410;2773;2774;3500;3501;3520;3521;3928;4163;4864;4865;4866;4918;4919;4920;4921;5004;5005;5006;5007;6544;6545;6546;6547;6548;6549;7387;7388;7389;7390;7391;7392;7495;7496;7497;7498;7604;7605;7606;7607;7608;7609;7610;8343;8344;8345	536;588;1359;1477;2410;2774;3500;3520;3928;4163;4865;4918;5005;6544;7388;7392;7498;7607;8345	261;262;263	208;328;345
g5726.t1;g5726.t2	g5726.t1;g5726.t2	5;5	5;5	5;5	;	2	5	5	5	1	1	0	2	4	4	0	2	1	1	1	0	2	4	4	0	2	1	1	1	0	2	4	4	0	2	1	12.5	12.5	12.5	61.273	574	574;576	1	15	0	31.399	By matching	By matching		By MS/MS	By MS/MS	By MS/MS		By matching	By matching	2.1	2.1	0	5.2	9.9	10.5	0	4.7	2.1	9180000	261250	75080	0	1023100	3653900	3603400	0	208290	354990	0	0	0	0	2362600	2674500	0	0	0	0	0	0	1	1	3	0	0	0	5				462	153;1122;2439;2884;3333	True;True;True;True;True	155;1189;2639;3107;3586	1006;1007;7882;7883;17579;17580;17581;20727;20728;20729;23934;23935;23936;23937;23938	363;2795;6213;6214;7357;8554	363;2795;6213;7357;8554		
g5736.t1	g5736.t1	2	2	2		1	2	2	2	1	2	2	2	2	0	0	0	2	1	2	2	2	2	0	0	0	2	1	2	2	2	2	0	0	0	2	28.9	28.9	28.9	17.156	159	159	1	11	0	13.539	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching				By matching	15.1	28.9	28.9	28.9	28.9	0	0	0	28.9	5079400	329540	1047300	757230	1705700	677560	0	0	0	562070	0	2193800	1446700	2649800	0	0	0	0	0	1	1	1	1	0	0	0	0	0	4				463	430;2088	True;True	453;2228	2951;2952;2953;2954;2955;14807;14808;14809;14810;14811;14812	1064;5270;5271;5272	1064;5272		
g5737.t1	g5737.t1	3	3	3		1	3	3	3	1	1	3	3	0	0	0	0	0	1	1	3	3	0	0	0	0	0	1	1	3	3	0	0	0	0	0	12.7	12.7	12.7	57.069	561	561	1	10	0	22.985	By matching	By MS/MS	By MS/MS	By MS/MS						4.3	4.3	12.7	12.7	0	0	0	0	0	1200700	86181	215370	180580	718600	0	0	0	0	0	0	511840	582240	790360	0	0	0	0	0	0	1	2	2	0	0	0	0	0	5				464	2486;2487;3359	True;True;True	2688;2689;3612	17947;17948;17949;17950;24099;24100;24101;24102;24103;24104	6355;6356;8593;8594;8595	6355;6356;8593		
g5744.t1	g5744.t1	3	3	3		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	47.3	47.3	47.3	10.063	93	93	1	42	0	36.819	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	47.3	47.3	47.3	47.3	47.3	47.3	47.3	47.3	47.3	87361000	11400000	8876700	4080700	3048700	5046000	12083000	14216000	25928000	2681900	10209000	16984000	6946300	6241900	4729100	7993600	9112900	12637000	5983600	1	3	3	3	1	0	2	1	1	15				465	1654;2253;2784	True;True;True	1765;2425;2426;3001	11741;11742;11743;11744;11745;11746;11747;11748;11749;16159;16160;16161;16162;16163;16164;16165;16166;16167;16168;16169;16170;16171;16172;16173;16174;16175;16176;16177;20019;20020;20021;20022;20023;20024;20025;20026;20027;20028;20029;20030;20031;20032	4180;4181;4182;5721;5722;5723;5724;5725;5726;7049;7050;7051;7052;7053;7054	4180;5724;7050	264;265	50;53
g5775.t1	g5775.t1	4	4	4		1	4	4	4	4	4	2	3	1	2	3	4	3	4	4	2	3	1	2	3	4	3	4	4	2	3	1	2	3	4	3	9.4	9.4	9.4	42.751	394	394	1	26	0	23.476	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	9.4	9.4	3.8	9.4	3.8	7.6	5.6	9.4	5.6	15346000	2422300	1682000	312790	501670	424590	1090800	4087000	3781800	1042900	2208800	3903500	0	0	0	0	0	1737200	0	0	2	1	0	0	1	0	1	0	5				466	2568;2891;3089;3090	True;True;True;True	2778;3114;3328;3329	18540;18541;18542;18543;18544;20769;20770;20771;20772;20773;20774;22221;22222;22223;22224;22225;22226;22227;22228;22229;22230;22231;22232;22233;22234;22235	6527;6528;7371;7880;7881;7882	6527;7371;7880;7882		
g5777.t1	g5777.t1	2	2	2		1	2	2	2	0	1	1	2	2	2	0	2	2	0	1	1	2	2	2	0	2	2	0	1	1	2	2	2	0	2	2	8	8	8	31.201	286	286	1	12	0	11.66		By matching	By MS/MS	By MS/MS	By MS/MS	By matching		By matching	By matching	0	3.5	3.5	8	8	8	0	8	8	1731800	0	43667	59646	150640	486510	426970	0	338920	225440	0	0	0	253240	347200	0	0	0	0	0	0	1	1	1	0	0	0	0	3				467	1609;2301	True;True	1715;2489	11402;11403;11404;11405;11406;16558;16559;16560;16561;16562;16563;16564	4049;5851;5852	4049;5851	266;267	77;243
g5809.t1	g5809.t1	3	3	3		1	3	3	3	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3	2	2	2	30.6	30.6	30.6	12.946	124	124	1	23	0	38.019	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	25	25	25	30.6	30.6	30.6	25	25	25	44366000	752640	675230	258280	7909300	9097200	8674900	6252200	6540600	4205800	1279200	2326200	1535400	9196500	5592700	4404400	4627600	4644700	5674200	2	1	0	5	1	1	0	0	0	10				468	1809;1980;3080	True;True;True	1931;2113;3318	12868;12869;12870;14018;14019;14020;14021;14022;14023;14024;14025;14026;22162;22163;22164;22165;22166;22167;22168;22169;22170;22171;22172	4567;4568;5000;5001;5002;5003;7856;7857;7858;7859;7860	4567;5000;7858		
